Do you go to the gym?,"How many days, on average, do you go to the gym in a week?",Financial incentives a,Messages that affirm your values a,Notifications to plan workouts a,Notifications to reflect on your number of gym visits per week a,Advice to increase your number of gym visits a,"If an artificial intelligence (AI) system were to make recommendations for increasing my gym attendance, I would listen to the AI’s advice.",I would like to change how often I engage in physical activity.,"How many days per week, on average, do you engage in physical activity?",Financial incentives b,Messages that affirm your values b,Notifications to plan workouts b,Notifications to reflect on your levels of physical activity per week b,Advice to increase your level of physical activity b,"If an artificial intelligence (AI) system were to make recommendations for increasing my levels of physical activity, I would listen to the AI’s advice.",I would like to change my current levels of physical activity,How old are you?,What is your gender?
No,,,,,,,,Agree,4,Slightly increase,Slightly increase,Slightly increase,Somewhat increase,Somewhat increase,Agree,Agree,55,Female
No,,,,,,,,Agree,0,Extremely increase,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Disagree,Agree,49,Female
Yes,4,Moderately increase,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Agree,28,Female
Yes,5,Slightly increase,Not at all increase,Slightly increase,Somewhat increase,Not at all increase,Disagree,,,,,,,,,Disagree,29,Male
No,,,,,,,,Strongly agree,5,Somewhat increase,Not at all increase,Slightly increase,Not at all increase,Slightly increase,Neither agree nor disagree,Strongly agree,39,Female
No,,,,,,,,Agree,1,Somewhat increase,Slightly increase,Slightly increase,Somewhat increase,Somewhat increase,Agree,Agree,34,Female
Yes,2,Moderately increase,Moderately increase,Somewhat increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,,,,,,,,,Agree,29,Male
No,,,,,,,,Neither agree nor disagree,5,Moderately increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,Disagree,41,Male
No,,,,,,,,Neither agree nor disagree,5,Moderately increase,Slightly increase,Slightly increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,Neither agree nor disagree,29,Female
Yes,6,Moderately increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Agree,45,Male
No,,,,,,,,Neither agree nor disagree,5,Extremely increase,Slightly increase,Slightly increase,Not at all increase,Not at all increase,Disagree,Neither agree nor disagree,41,Female
No,,,,,,,,Disagree,4,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Not at all increase,Disagree,Neither agree nor disagree,38,Male
Yes,5,Moderately increase,Moderately increase,Moderately increase,Not at all increase,Slightly increase,Disagree,,,,,,,,,Disagree,33,Male
No,,,,,,,,Agree,5,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Agree,Agree,67,Male
No,,,,,,,,Agree,2,Moderately increase,Slightly increase,Slightly increase,Slightly increase,Moderately increase,Neither agree nor disagree,Agree,29,Male
Yes,3,Extremely increase,Somewhat increase,Slightly increase,Not at all increase,Slightly increase,Neither agree nor disagree,,,,,,,,,Agree,24,Male
No,,,,,,,,Agree,2,Extremely increase,Somewhat increase,Slightly increase,Somewhat increase,Slightly increase,Neither agree nor disagree,Agree,32,Female
No,,,,,,,,Agree,2,Extremely increase,Moderately increase,Somewhat increase,Moderately increase,Moderately increase,Agree,Strongly agree,30,Female
Yes,4,Extremely increase,Moderately increase,Somewhat increase,Somewhat increase,Somewhat increase,Agree,,,,,,,,,Agree,41,Male
No,,,,,,,,Agree,1,Extremely increase,Slightly increase,Somewhat increase,Slightly increase,Somewhat increase,Agree,Strongly agree,30,Female
No,,,,,,,,Strongly disagree,6,Somewhat increase,Moderately increase,Extremely increase,Extremely increase,Extremely increase,Agree,Disagree,54,Female
No,,,,,,,,Strongly agree,2,Somewhat increase,Not at all increase,Moderately increase,Slightly increase,Extremely increase,Agree,Strongly agree,45,Male
No,,,,,,,,Strongly agree,0,Somewhat increase,Not at all increase,Not at all increase,Not at all increase,Somewhat increase,Strongly disagree,Strongly agree,55,Female
No,,,,,,,,Agree,4,Somewhat increase,Slightly increase,Slightly increase,Slightly increase,Slightly increase,Neither agree nor disagree,Agree,49,Female
No,,,,,,,,Agree,1,Slightly increase,Slightly increase,Slightly increase,Not at all increase,Slightly increase,Disagree,Agree,35,Female
No,,,,,,,,Agree,0,Extremely increase,Somewhat increase,Somewhat increase,Somewhat increase,Extremely increase,Neither agree nor disagree,Strongly agree,27,Female
No,,,,,,,,Neither agree nor disagree,4,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,Neither agree nor disagree,67,Male
No,,,,,,,,Strongly agree,0,Somewhat increase,Moderately increase,Somewhat increase,Moderately increase,Moderately increase,Disagree,Strongly agree,42,Female
No,,,,,,,,Neither agree nor disagree,0,Moderately increase,Not at all increase,Slightly increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,Neither agree nor disagree,25,Female
No,,,,,,,,Agree,1,Moderately increase,Somewhat increase,Moderately increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,Agree,23,Male
Yes,3,Moderately increase,Somewhat increase,Somewhat increase,Somewhat increase,Somewhat increase,Agree,,,,,,,,,Agree,32,Male
No,,,,,,,,Agree,0,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,Agree,41,Female
Yes,5,Somewhat increase,Slightly increase,Slightly increase,Not at all increase,Not at all increase,Disagree,,,,,,,,,Disagree,28,Female
No,,,,,,,,Strongly agree,4,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,Strongly agree,29,Female
No,,,,,,,,Agree,1,Extremely increase,Somewhat increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,Agree,24,Female
No,,,,,,,,Agree,3,Moderately increase,Not at all increase,Somewhat increase,Not at all increase,Not at all increase,Disagree,Strongly agree,48,Female
No,,,,,,,,Agree,2,Extremely increase,Extremely increase,Somewhat increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,Agree,24,Female
No,,,,,,,,Agree,5,Extremely increase,Moderately increase,Slightly increase,Extremely increase,Not at all increase,Neither agree nor disagree,Agree,53,Female
Yes,2,Moderately increase,Moderately increase,Somewhat increase,Moderately increase,Moderately increase,Neither agree nor disagree,,,,,,,,,Agree,20,Female
No,,,,,,,,Agree,5,Extremely increase,Not at all increase,Not at all increase,Somewhat increase,Not at all increase,Strongly disagree,Agree,28,Male
Yes,4,Somewhat increase,Moderately increase,Extremely increase,Somewhat increase,Moderately increase,Strongly agree,,,,,,,,,Neither agree nor disagree,37,Male
No,,,,,,,,Neither agree nor disagree,0,Somewhat increase,Not at all increase,Not at all increase,Somewhat increase,Slightly increase,Neither agree nor disagree,Neither agree nor disagree,33,Female
No,,,,,,,,Agree,2,Moderately increase,Somewhat increase,Slightly increase,Not at all increase,Moderately increase,Neither agree nor disagree,Agree,26,Male
Yes,3,Extremely increase,Extremely increase,Extremely increase,Moderately increase,Moderately increase,Strongly agree,,,,,,,,,Strongly agree,53,Female
No,,,,,,,,Agree,3,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,Agree,52,Female
Yes,2,Moderately increase,Moderately increase,Not at all increase,Not at all increase,Not at all increase,Disagree,,,,,,,,,Agree,29,Female
No,,,,,,,,Strongly agree,3,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Somewhat increase,Strongly disagree,Strongly agree,29,Male
No,,,,,,,,Strongly agree,2,Somewhat increase,Not at all increase,Somewhat increase,Moderately increase,Somewhat increase,Neither agree nor disagree,Strongly agree,65,Female
No,,,,,,,,Agree,2,Extremely increase,Somewhat increase,Slightly increase,Moderately increase,Not at all increase,Strongly disagree,Strongly agree,33,Male
Yes,5,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,,,,,,,,,Disagree,35,Male
Yes,2,Extremely increase,Not at all increase,Slightly increase,Not at all increase,Not at all increase,Neither agree nor disagree,,,,,,,,,Agree,32,Female
No,,,,,,,,Neither agree nor disagree,2,Moderately increase,Not at all increase,Not at all increase,Slightly increase,Slightly increase,Strongly disagree,Neither agree nor disagree,29,Female
Yes,2,Extremely increase,Moderately increase,Not at all increase,Not at all increase,Moderately increase,Neither agree nor disagree,,,,,,,,,Strongly agree,28,Male
No,,,,,,,,Disagree,5,Moderately increase,Moderately increase,Not at all increase,Not at all increase,Not at all increase,Disagree,Disagree,36,Female
No,,,,,,,,Agree,3,Slightly increase,Not at all increase,Somewhat increase,Moderately increase,Somewhat increase,Strongly disagree,Agree,23,Female
No,,,,,,,,Disagree,4,Moderately increase,Somewhat increase,Somewhat increase,Slightly increase,Slightly increase,Neither agree nor disagree,Disagree,22,Female
No,,,,,,,,Agree,4,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Strongly disagree,Agree,63,Female
Yes,2,Extremely increase,Somewhat increase,Somewhat increase,Slightly increase,Slightly increase,Disagree,,,,,,,,,Agree,33,Male
No,,,,,,,,Agree,2,Moderately increase,Slightly increase,Slightly increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,Agree,57,Male
No,,,,,,,,Strongly agree,1,Somewhat increase,Somewhat increase,Not at all increase,Slightly increase,Not at all increase,Strongly disagree,Strongly agree,33,Female
Yes,3,Not at all increase,Somewhat increase,Slightly increase,Moderately increase,Somewhat increase,Neither agree nor disagree,,,,,,,,,Strongly agree,32,Female
Yes,5,Extremely increase,Not at all increase,Not at all increase,Moderately increase,Slightly increase,Neither agree nor disagree,,,,,,,,,Agree,20,Male
No,,,,,,,,Agree,2,Moderately increase,Somewhat increase,Slightly increase,Somewhat increase,Moderately increase,Agree,Agree,25,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Somewhat increase,Strongly disagree,Strongly agree,24,Non-binary / genderqueer / non-conforming
No,,,,,,,,Agree,3,Extremely increase,Not at all increase,Somewhat increase,Slightly increase,Not at all increase,Strongly disagree,Agree,32,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Somewhat increase,Somewhat increase,Somewhat increase,Somewhat increase,Neither agree nor disagree,Strongly agree,52,Male
No,,,,,,,,Strongly agree,1,Extremely increase,Slightly increase,Slightly increase,Slightly increase,Slightly increase,Disagree,Strongly agree,33,Male
Yes,1,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Strongly agree,43,Female
No,,,,,,,,Agree,3,Extremely increase,Somewhat increase,Slightly increase,Somewhat increase,Somewhat increase,Disagree,Strongly agree,22,Male
Yes,3,Extremely increase,Slightly increase,Not at all increase,Not at all increase,Somewhat increase,Agree,,,,,,,,,Agree,23,Male
No,,,,,,,,Neither agree nor disagree,5,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Somewhat increase,Neither agree nor disagree,Neither agree nor disagree,70,Male
No,,,,,,,,Agree,5,Somewhat increase,Somewhat increase,Slightly increase,Slightly increase,Slightly increase,Neither agree nor disagree,Agree,27,Male
No,,,,,,,,Agree,5,Moderately increase,Somewhat increase,Slightly increase,Somewhat increase,Somewhat increase,Disagree,Agree,56,Male
Yes,1,Extremely increase,Somewhat increase,Somewhat increase,Somewhat increase,Moderately increase,Agree,,,,,,,,,Strongly agree,53,Male
No,,,,,,,,Disagree,0,Somewhat increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,Strongly disagree,45,Male
No,,,,,,,,Disagree,7,Extremely increase,Slightly increase,Not at all increase,Somewhat increase,Somewhat increase,Agree,Disagree,37,Male
Yes,3,Extremely increase,Extremely increase,Slightly increase,Somewhat increase,Extremely increase,Agree,,,,,,,,,Neither agree nor disagree,30,Male
No,,,,,,,,Agree,3,Moderately increase,Slightly increase,Moderately increase,Slightly increase,Somewhat increase,Neither agree nor disagree,Agree,35,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Moderately increase,Extremely increase,Somewhat increase,Extremely increase,Agree,Strongly agree,33,Female
Yes,3,Extremely increase,Somewhat increase,Somewhat increase,Somewhat increase,Somewhat increase,Disagree,,,,,,,,,Agree,45,Male
Yes,4,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Strongly disagree,28,Non-binary / genderqueer / non-conforming
No,,,,,,,,Agree,5,Moderately increase,Slightly increase,Not at all increase,Slightly increase,Slightly increase,Neither agree nor disagree,Agree,46,Male
No,,,,,,,,Agree,6,Moderately increase,Moderately increase,Moderately increase,Moderately increase,Moderately increase,Neither agree nor disagree,Agree,34,Male
Yes,4,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Neither agree nor disagree,,,,,,,,,Strongly disagree,47,Male
No,,,,,,,,Disagree,4,Somewhat increase,Not at all increase,Somewhat increase,Not at all increase,Not at all increase,Disagree,Disagree,37,Male
Yes,3,Moderately increase,Moderately increase,Somewhat increase,Not at all increase,Slightly increase,Neither agree nor disagree,,,,,,,,,Disagree,24,Male
Yes,3,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Disagree,31,Male
No,,,,,,,,Agree,2,Extremely increase,Slightly increase,Somewhat increase,Somewhat increase,Slightly increase,Neither agree nor disagree,Agree,44,Female
No,,,,,,,,Agree,1,Moderately increase,Slightly increase,Not at all increase,Slightly increase,Somewhat increase,Disagree,Agree,37,Male
Yes,1,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Neither agree nor disagree,,,,,,,,,Agree,54,Male
Yes,2,Moderately increase,Moderately increase,Not at all increase,Not at all increase,Not at all increase,Disagree,,,,,,,,,Disagree,28,Male
Yes,5,Not at all increase,Slightly increase,Moderately increase,Slightly increase,Slightly increase,Strongly agree,,,,,,,,,Strongly disagree,40,Male
No,,,,,,,,Disagree,6,Not at all increase,Somewhat increase,Somewhat increase,Moderately increase,Slightly increase,Disagree,Disagree,61,Male
No,,,,,,,,Agree,3,Extremely increase,Somewhat increase,Somewhat increase,Moderately increase,Somewhat increase,Agree,Agree,52,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Disagree,Strongly agree,32,Male
No,,,,,,,,Strongly agree,3,Extremely increase,Not at all increase,Slightly increase,Not at all increase,Somewhat increase,Neither agree nor disagree,Strongly agree,22,Male
No,,,,,,,,Strongly agree,2,Extremely increase,Moderately increase,Slightly increase,Moderately increase,Moderately increase,Agree,Strongly agree,27,Prefer not to say
No,,,,,,,,Strongly agree,1,Slightly increase,Not at all increase,Not at all increase,Not at all increase,Slightly increase,Disagree,Strongly agree,55,Male
No,,,,,,,,Agree,0,Extremely increase,Somewhat increase,Slightly increase,Slightly increase,Slightly increase,Agree,Agree,28,Male
No,,,,,,,,Agree,1,Moderately increase,Slightly increase,Somewhat increase,Somewhat increase,Slightly increase,Neither agree nor disagree,Agree,36,Male
No,,,,,,,,Strongly agree,2,Extremely increase,Slightly increase,Somewhat increase,Somewhat increase,Somewhat increase,Agree,Strongly agree,32,Male
Yes,4,Extremely increase,Slightly increase,Slightly increase,Moderately increase,Somewhat increase,Neither agree nor disagree,,,,,,,,,Agree,22,Transgender female
No,,,,,,,,Agree,4,Moderately increase,Slightly increase,Not at all increase,Somewhat increase,Not at all increase,Strongly disagree,Agree,47,Male
No,,,,,,,,Agree,3,Extremely increase,Slightly increase,Slightly increase,Not at all increase,Not at all increase,Neither agree nor disagree,Agree,28,Male
Yes,1,Extremely increase,Not at all increase,Not at all increase,Not at all increase,Not at all increase,Strongly disagree,,,,,,,,,Agree,40,Male
Yes,3,Moderately increase,Not at all increase,Slightly increase,Somewhat increase,Slightly increase,Agree,,,,,,,,,Agree,52,Male
Yes,3,Extremely increase,Not at all increase,Slightly increase,Not at all increase,Slightly increase,Disagree,,,,,,,,,Neither agree nor disagree,21,Non-binary / genderqueer / non-conforming